Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Austria,AUT,23.4691071376353
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Azerbaijan,AZE,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,"Bahamas, The",BHS,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Bahrain,BHR,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Bangladesh,BGD,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Barbados,BRB,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Belarus,BLR,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Belgium,BEL,21.1286083620106
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Belize,BLZ,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Benin,BEN,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Bermuda,BMU,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Bhutan,BTN,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Bolivia,BOL,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Bosnia and Herzegovina,BIH,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Botswana,BWA,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Brazil,BRA,25.0033812948451
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,British Virgin Islands,VGB,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Brunei Darussalam,BRN,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Bulgaria,BGR,22.0388695829152
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Burkina Faso,BFA,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Burundi,BDI,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Cabo Verde,CPV,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Cambodia,KHM,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Cameroon,CMR,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Canada,CAN,18.9920077149677
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Cayman Islands,CYM,..
PISA: 15-year-olds by reading proficiency level (%). Level 2,LO.PISA.REA.2,Central African Republic,CAF,..
