Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Armenia,ARM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Aruba,ABW,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Australia,AUS,4.8405992075667
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Austria,AUT,6.52643443644483
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Azerbaijan,AZE,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,"Bahamas, The",BHS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Bahrain,BHR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Bangladesh,BGD,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Barbados,BRB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Belarus,BLR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Belgium,BEL,5.31952524546817
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Belize,BLZ,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Benin,BEN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Bermuda,BMU,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Bhutan,BTN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Bolivia,BOL,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Bosnia and Herzegovina,BIH,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Botswana,BWA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Brazil,BRA,17.4147488571413
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,British Virgin Islands,VGB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Brunei Darussalam,BRN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Bulgaria,BGR,14.2547276436305
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Burkina Faso,BFA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Burundi,BDI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Cabo Verde,CPV,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Cambodia,KHM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Cameroon,CMR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Canada,CAN,2.08996769242502
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Cayman Islands,CYM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Central African Republic,CAF,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Chad,TCD,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Channel Islands,CHI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Chile,CHL,7.36803157271979
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,China,CHN,6.23054818834299
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Colombia,COL,13.58173696817
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Comoros,COM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,"Congo, Dem. Rep.",COD,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,"Congo, Rep.",COG,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Costa Rica,CRI,10.3227546931356
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Cote d'Ivoire,CIV,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Croatia,HRV,4.52356659170367
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Cuba,CUB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Curacao,CUW,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Cyprus,CYP,11.3949234369121
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Czech Republic,CZE,5.99558155336707
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Denmark,DNK,3.27473476814371
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Djibouti,DJI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Dominica,DMA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Dominican Republic,DOM,28.1971350519311
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Ecuador,ECU,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,"Egypt, Arab Rep.",EGY,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,El Salvador,SLV,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Equatorial Guinea,GNQ,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Eritrea,ERI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Estonia,EST,2.06746688471136
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Eswatini,SWZ,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Ethiopia,ETH,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Faroe Islands,FRO,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Fiji,FJI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Finland,FIN,2.62592366209724
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,France,FRA,6.48522004205546
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,French Polynesia,PYF,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Gabon,GAB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,"Gambia, The",GMB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Georgia,GEO,16.3964661635996
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Germany,DEU,4.1202144774835
PISA: 15-year-olds by reading proficiency level (%). Level 1B,LO.PISA.REA.1B,Ghana,GHA,..
