Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Arab World,ARB,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Caribbean small states,CSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Central Europe and the Baltics,CEB,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Early-demographic dividend,EAR,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,East Asia & Pacific,EAS,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,East Asia & Pacific (excluding high income),EAP,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,East Asia & Pacific (IDA & IBRD countries),TEA,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Euro area,EMU,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Europe & Central Asia,ECS,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Europe & Central Asia (excluding high income),ECA,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Europe & Central Asia (IDA & IBRD countries),TEC,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,European Union,EUU,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Fragile and conflict affected situations,FCS,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Heavily indebted poor countries (HIPC),HPC,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,High income,HIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,IBRD only,IBD,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,IDA & IBRD total,IBT,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,IDA blend,IDB,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,IDA only,IDX,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,IDA total,IDA,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Late-demographic dividend,LTE,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Latin America & Caribbean,LCN,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Latin America & Caribbean (excluding high income),LAC,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Latin America & the Caribbean (IDA & IBRD countries),TLA,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Least developed countries: UN classification,LDC,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Low & middle income,LMY,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Low income,LIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Lower middle income,LMC,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Middle East & North Africa,MEA,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Middle East & North Africa (excluding high income),MNA,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Middle East & North Africa (IDA & IBRD countries),TMN,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Middle income,MIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,North America,NAC,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Not classified,INX,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,OECD members,OED,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Other small states,OSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Pacific island small states,PSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Post-demographic dividend,PST,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Pre-demographic dividend,PRE,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Small states,SST,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,South Asia,SAS,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,South Asia (IDA & IBRD),TSA,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Sub-Saharan Africa,SSF,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Sub-Saharan Africa (excluding high income),SSA,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Sub-Saharan Africa (IDA & IBRD countries),TSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Upper middle income,UMC,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,World,WLD,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Afghanistan,AFG,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Albania,ALB,5.13138099188459
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Algeria,DZA,0.342287317095777
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,American Samoa,ASM,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Andorra,AND,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Angola,AGO,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Antigua and Barbuda,ATG,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Argentina,ARG,6.39779886960998
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Armenia,ARM,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Aruba,ABW,..
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Australia,AUS,22.0325576521241
PISA: 15-year-olds by reading proficiency level (%). Level 4,LO.PISA.REA.4,Austria,AUT,19.7428465605816
