Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Arab World,ARB,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Caribbean small states,CSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Central Europe and the Baltics,CEB,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Early-demographic dividend,EAR,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,East Asia & Pacific,EAS,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,East Asia & Pacific (excluding high income),EAP,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,East Asia & Pacific (IDA & IBRD countries),TEA,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Euro area,EMU,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Europe & Central Asia,ECS,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Europe & Central Asia (excluding high income),ECA,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Europe & Central Asia (IDA & IBRD countries),TEC,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,European Union,EUU,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Fragile and conflict affected situations,FCS,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Heavily indebted poor countries (HIPC),HPC,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,High income,HIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,IBRD only,IBD,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,IDA & IBRD total,IBT,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,IDA blend,IDB,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,IDA only,IDX,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,IDA total,IDA,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Late-demographic dividend,LTE,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Latin America & Caribbean,LCN,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Latin America & Caribbean (excluding high income),LAC,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Latin America & the Caribbean (IDA & IBRD countries),TLA,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Least developed countries: UN classification,LDC,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Low & middle income,LMY,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Low income,LIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Lower middle income,LMC,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Middle East & North Africa,MEA,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Middle East & North Africa (excluding high income),MNA,..
PISA: 15-year-olds by reading proficiency level (%). Level 3,LO.PISA.REA.3,Middle East & North Africa (IDA & IBRD countries),TMN,..
