Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Arab World,ARB,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Caribbean small states,CSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Central Europe and the Baltics,CEB,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Early-demographic dividend,EAR,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,East Asia & Pacific,EAS,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,East Asia & Pacific (excluding high income),EAP,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,East Asia & Pacific (IDA & IBRD countries),TEA,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Euro area,EMU,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Europe & Central Asia,ECS,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Europe & Central Asia (excluding high income),ECA,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Europe & Central Asia (IDA & IBRD countries),TEC,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,European Union,EUU,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Fragile and conflict affected situations,FCS,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Heavily indebted poor countries (HIPC),HPC,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,High income,HIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,IBRD only,IBD,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,IDA & IBRD total,IBT,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,IDA blend,IDB,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,IDA only,IDX,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,IDA total,IDA,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Late-demographic dividend,LTE,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Latin America & Caribbean,LCN,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Latin America & Caribbean (excluding high income),LAC,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Latin America & the Caribbean (IDA & IBRD countries),TLA,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Least developed countries: UN classification,LDC,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Low & middle income,LMY,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Low income,LIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Lower middle income,LMC,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Middle East & North Africa,MEA,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Middle East & North Africa (excluding high income),MNA,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Middle East & North Africa (IDA & IBRD countries),TMN,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Middle income,MIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,North America,NAC,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Not classified,INX,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,OECD members,OED,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Other small states,OSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Pacific island small states,PSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Post-demographic dividend,PST,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Pre-demographic dividend,PRE,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Small states,SST,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,South Asia,SAS,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,South Asia (IDA & IBRD),TSA,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Sub-Saharan Africa,SSF,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Sub-Saharan Africa (excluding high income),SSA,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Sub-Saharan Africa (IDA & IBRD countries),TSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Upper middle income,UMC,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,World,WLD,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Afghanistan,AFG,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Albania,ALB,0.0786585912100475
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Algeria,DZA,0
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,American Samoa,ASM,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Andorra,AND,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Angola,AGO,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Antigua and Barbuda,ATG,..
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Argentina,ARG,0.0568120621331044
PISA: 15-year-olds by reading proficiency level (%). Level 6,LO.PISA.REA.6,Armenia,ARM,..
