Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Argentina,ARG,3.3448766991249
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Armenia,ARM,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Aruba,ABW,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Australia,AUS,1.23468456824643
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Austria,AUT,1.7213367586485
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Azerbaijan,AZE,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,"Bahamas, The",BHS,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Bahrain,BHR,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Bangladesh,BGD,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Barbados,BRB,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Belarus,BLR,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Belgium,BEL,1.0391468551939
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Belize,BLZ,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Benin,BEN,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Bermuda,BMU,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Bhutan,BTN,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Bolivia,BOL,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Bosnia and Herzegovina,BIH,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Botswana,BWA,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Brazil,BRA,7.05546406541342
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,British Virgin Islands,VGB,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Brunei Darussalam,BRN,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Bulgaria,BGR,7.70134043676425
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Burkina Faso,BFA,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Burundi,BDI,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Cabo Verde,CPV,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Cambodia,KHM,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Cameroon,CMR,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Canada,CAN,0.383150719826627
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Cayman Islands,CYM,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Central African Republic,CAF,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Chad,TCD,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Channel Islands,CHI,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Chile,CHL,1.25820845633488
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,China,CHN,2.14630845252709
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Colombia,COL,3.15827924189692
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Comoros,COM,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,"Congo, Dem. Rep.",COD,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,"Congo, Rep.",COG,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Costa Rica,CRI,1.69710717425731
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Cote d'Ivoire,CIV,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Croatia,HRV,0.560987727763341
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Cuba,CUB,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Curacao,CUW,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Cyprus,CYP,4.39085027436222
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Czech Republic,CZE,1.34372995838861
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Denmark,DNK,0.521212988735798
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Djibouti,DJI,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Dominica,DMA,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Dominican Republic,DOM,13.1193634824895
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Ecuador,ECU,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,"Egypt, Arab Rep.",EGY,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,El Salvador,SLV,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Equatorial Guinea,GNQ,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Eritrea,ERI,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Estonia,EST,0.173992443851313
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Eswatini,SWZ,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Ethiopia,ETH,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Faroe Islands,FRO,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Fiji,FJI,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Finland,FIN,0.616980754041331
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,France,FRA,2.28675676907982
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,French Polynesia,PYF,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Gabon,GAB,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,"Gambia, The",GMB,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Georgia,GEO,9.4814853150563
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Germany,DEU,0.934156801688812
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Ghana,GHA,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Gibraltar,GIB,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Greece,GRC,2.26882282105494
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Greenland,GRL,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Grenada,GRD,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Guam,GUM,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Guatemala,GTM,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Guinea,GIN,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Guinea-Bissau,GNB,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Guyana,GUY,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Haiti,HTI,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Honduras,HND,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,"Hong Kong SAR, China",HKG,0.273855533895917
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Hungary,HUN,1.40708531534307
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Iceland,ISL,1.7583411764825
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,India,IND,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Indonesia,IDN,3.82359492750196
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,"Iran, Islamic Rep.",IRN,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Iraq,IRQ,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Ireland,IRL,0.228536739114804
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Isle of Man,IMN,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Israel,ISR,3.29249548965209
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Italy,ITA,1.0309046451148
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Jamaica,JAM,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Japan,JPN,0.647981497490164
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Jordan,JOR,7.41763570389907
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Kazakhstan,KAZ,1.69206309359812
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Kenya,KEN,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Kiribati,KIR,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,"Korea, Dem. People’s Rep.",PRK,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,"Korea, Rep.",KOR,0.69686438256557
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Kosovo,XKX,14.6415355473257
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Kuwait,KWT,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Kyrgyz Republic,KGZ,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Lao PDR,LAO,..
PISA: 15-year-olds by reading proficiency level (%). Below Level 1B,LO.PISA.REA.0,Latvia,LVA,0.411201225459269
