Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Armenia,ARM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Aruba,ABW,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Australia,AUS,11.9921877532318
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Austria,AUT,14.2918882337329
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Azerbaijan,AZE,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,"Bahamas, The",BHS,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Bahrain,BHR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Bangladesh,BGD,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Barbados,BRB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Belarus,BLR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Belgium,BEL,13.1758551704031
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Belize,BLZ,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Benin,BEN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Bermuda,BMU,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Bhutan,BTN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Bolivia,BOL,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Bosnia and Herzegovina,BIH,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Botswana,BWA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Brazil,BRA,26.5218795511668
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,British Virgin Islands,VGB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Brunei Darussalam,BRN,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Bulgaria,BGR,19.5133879237367
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Burkina Faso,BFA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Burundi,BDI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Cabo Verde,CPV,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Cambodia,KHM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Cameroon,CMR,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Canada,CAN,8.20845343212692
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Cayman Islands,CYM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Central African Republic,CAF,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Chad,TCD,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Channel Islands,CHI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Chile,CHL,19.7583760176466
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,China,CHN,13.508566436623
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Colombia,COL,26.0995120608944
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Comoros,COM,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,"Congo, Dem. Rep.",COD,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,"Congo, Rep.",COG,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Costa Rica,CRI,28.2865627471808
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Cote d'Ivoire,CIV,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Croatia,HRV,14.7813260152497
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Cuba,CUB,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Curacao,CUW,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Cyprus,CYP,19.8427550010528
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Czech Republic,CZE,14.6839442503086
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Denmark,DNK,11.199668392592
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Djibouti,DJI,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Dominica,DMA,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Dominican Republic,DOM,30.818957110977
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Ecuador,ECU,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,"Egypt, Arab Rep.",EGY,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,El Salvador,SLV,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Equatorial Guinea,GNQ,..
PISA: 15-year-olds by reading proficiency level (%). Level 1A,LO.PISA.REA.1A,Eritrea,ERI,..
