Series,Series Code,Country Name,Country Code,2015 [YR2015]
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Arab World,ARB,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Caribbean small states,CSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Central Europe and the Baltics,CEB,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Early-demographic dividend,EAR,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,East Asia & Pacific,EAS,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,East Asia & Pacific (excluding high income),EAP,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,East Asia & Pacific (IDA & IBRD countries),TEA,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Euro area,EMU,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Europe & Central Asia,ECS,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Europe & Central Asia (excluding high income),ECA,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Europe & Central Asia (IDA & IBRD countries),TEC,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,European Union,EUU,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Fragile and conflict affected situations,FCS,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Heavily indebted poor countries (HIPC),HPC,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,High income,HIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,IBRD only,IBD,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,IDA & IBRD total,IBT,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,IDA blend,IDB,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,IDA only,IDX,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,IDA total,IDA,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Late-demographic dividend,LTE,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Latin America & Caribbean,LCN,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Latin America & Caribbean (excluding high income),LAC,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Latin America & the Caribbean (IDA & IBRD countries),TLA,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Least developed countries: UN classification,LDC,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Low & middle income,LMY,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Low income,LIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Lower middle income,LMC,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Middle East & North Africa,MEA,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Middle East & North Africa (excluding high income),MNA,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Middle East & North Africa (IDA & IBRD countries),TMN,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Middle income,MIC,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,North America,NAC,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Not classified,INX,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,OECD members,OED,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Other small states,OSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Pacific island small states,PSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Post-demographic dividend,PST,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Pre-demographic dividend,PRE,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Small states,SST,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,South Asia,SAS,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,South Asia (IDA & IBRD),TSA,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Sub-Saharan Africa,SSF,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Sub-Saharan Africa (excluding high income),SSA,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Sub-Saharan Africa (IDA & IBRD countries),TSS,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Upper middle income,UMC,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,World,WLD,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Afghanistan,AFG,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Albania,ALB,0.881563721562652
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Algeria,DZA,0.00715639218547021
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,American Samoa,ASM,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Andorra,AND,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Angola,AGO,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Antigua and Barbuda,ATG,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Argentina,ARG,0.906113694192298
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Armenia,ARM,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Aruba,ABW,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Australia,AUS,9.03580240830707
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Austria,AUT,6.44250249115315
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Azerbaijan,AZE,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,"Bahamas, The",BHS,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Bahrain,BHR,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Bangladesh,BGD,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Barbados,BRB,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Belarus,BLR,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Belgium,BEL,8.36736170420125
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Belize,BLZ,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Benin,BEN,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Bermuda,BMU,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Bhutan,BTN,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Bolivia,BOL,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Bosnia and Herzegovina,BIH,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Botswana,BWA,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Brazil,BRA,1.30945931355796
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,British Virgin Islands,VGB,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Brunei Darussalam,BRN,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Bulgaria,BGR,3.19044679589902
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Burkina Faso,BFA,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Burundi,BDI,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Cabo Verde,CPV,..
PISA: 15-year-olds by reading proficiency level (%). Level 5,LO.PISA.REA.5,Cambodia,KHM,..
